,FECHA,ESTACION,TIPO_CONTAMINANTE,CANTIDAD_CONTAMINANTE,AQI,longitud,latitud,AQI_CATEGORY
56,2024-01-03,UIZ,CO,0.43041666666666667,4.891098484848484,-99.07388,19.360794,GOOD
57,2024-01-04,AJM,CO,0.3233333333333333,3.6742424242424243,-99.207744,19.272161,GOOD
58,2024-01-04,BJU,CO,0.5129166666666666,5.828598484848484,-99.159596,19.370464,GOOD
59,2024-01-04,CAM,CO,0.9208333333333334,10.46401515151515,-99.169794,19.468404,GOOD
60,2024-01-04,CCA,CO,0.3016666666666667,3.428030303030303,-99.176111,19.326111,GOOD
61,2024-01-04,CHO,CO,0.28625,3.2528409090909087,-98.886088,19.266948,GOOD
62,2024-01-04,CUA,CO,0.1775,2.0170454545454546,-99.291705,19.365313,GOOD
63,2024-01-04,FAC,CO,0.374702380952381,4.2579816017316015,-99.243524,19.482473,GOOD
64,2024-01-04,HGM,CO,0.45999999999999996,5.227272727272727,-99.152207,19.411617,GOOD
65,2024-01-04,IZT,CO,0.6558333333333334,7.452651515151515,-99.117641,19.384413,GOOD
66,2024-01-04,LPR,CO,0.4791666666666667,5.445075757575758,-99.11772,19.534727,GOOD
67,2024-01-04,MER,CO,0.9972916666666667,11.332859848484848,-99.119594,19.42461,GOOD
68,2024-01-04,MGH,CO,0.525,5.965909090909091,-99.20266,19.40405,GOOD
69,2024-01-04,MPA,CO,0.1679166666666667,1.9081439393939394,-98.990189,19.1769,GOOD
70,2024-01-04,PED,CO,0.26333333333333336,2.992424242424242,-99.204136,19.325146,GOOD
71,2024-01-04,SAC,CO,0.2141666666666667,2.4337121212121215,-99.009381,19.34561,GOOD
72,2024-01-04,SAG,CO,0.23249999999999998,2.6420454545454546,-99.030324,19.532968,GOOD
73,2024-01-04,TAH,CO,0.2333333333333333,2.6515151515151514,-99.010564,19.246459,GOOD
74,2024-01-04,TLI,CO,0.8447916666666666,9.599905303030303,-99.177173,19.602542,GOOD
75,2024-01-04,UIZ,CO,0.31583333333333335,3.589015151515151,-99.07388,19.360794,GOOD
76,2024-01-05,AJM,CO,0.23683333333333334,2.691287878787879,-99.207744,19.272161,GOOD
77,2024-01-05,BJU,CO,0.472,5.363636363636363,-99.159596,19.370464,GOOD
78,2024-01-05,CAM,CO,0.7423333333333333,8.43560606060606,-99.169794,19.468404,GOOD
79,2024-01-05,CCA,CO,0.28141666666666665,3.1979166666666665,-99.176111,19.326111,GOOD
80,2024-01-05,CHO,CO,0.44333333333333336,5.037878787878788,-98.886088,19.266948,GOOD
81,2024-01-05,CUA,CO,0.428125,4.865056818181818,-99.291705,19.365313,GOOD
82,2024-01-05,FAC,CO,0.6333333333333334,7.196969696969698,-99.243524,19.482473,GOOD
83,2024-01-05,HGM,CO,0.4486309523809524,5.098079004329004,-99.152207,19.411617,GOOD
84,2024-01-05,IZT,CO,0.6960000000000001,7.909090909090909,-99.117641,19.384413,GOOD
85,2024-01-05,LPR,CO,0.7206250000000001,8.188920454545455,-99.11772,19.534727,GOOD
86,2024-01-05,MER,CO,0.36766666666666664,4.178030303030303,-99.119594,19.42461,GOOD
87,2024-01-05,MGH,CO,0.4653333333333333,5.287878787878788,-99.20266,19.40405,GOOD
88,2024-01-05,MPA,CO,0.13817857142857146,1.570211038961039,-98.990189,19.1769,GOOD
89,2024-01-05,PED,CO,0.21125000000000002,2.400568181818182,-99.204136,19.325146,GOOD
90,2024-01-05,SAC,CO,0.226,2.5681818181818183,-99.009381,19.34561,GOOD
91,2024-01-05,SAG,CO,0.391,4.4431818181818175,-99.030324,19.532968,GOOD
92,2024-01-05,TAH,CO,0.13772222222222222,1.5650252525252526,-99.010564,19.246459,GOOD
93,2024-01-05,TLI,CO,0.31350000000000006,3.5625,-99.177173,19.602542,GOOD
94,2024-01-05,UIZ,CO,0.377,4.284090909090909,-99.07388,19.360794,GOOD
95,2024-01-06,AJM,CO,0.33375,3.7926136363636362,-99.207744,19.272161,GOOD
96,2024-01-06,BJU,CO,0.6539285714285714,7.4310064935064934,-99.159596,19.370464,GOOD
97,2024-01-06,CAM,CO,0.6475,7.357954545454544,-99.169794,19.468404,GOOD
98,2024-01-06,CCA,CO,0.4075,4.6306818181818175,-99.176111,19.326111,GOOD
99,2024-01-06,CHO,CO,0.3754166666666667,4.266098484848484,-98.886088,19.266948,GOOD
100,2024-01-06,CUA,CO,0.28708333333333336,3.262310606060606,-99.291705,19.365313,GOOD
101,2024-01-06,FAC,CO,0.36541666666666667,4.152462121212121,-99.243524,19.482473,GOOD
102,2024-01-06,HGM,CO,0.5891666666666667,6.695075757575758,-99.152207,19.411617,GOOD
103,2024-01-06,IZT,CO,0.7216666666666667,8.200757575757576,-99.117641,19.384413,GOOD
104,2024-01-06,LPR,CO,0.73875,8.394886363636363,-99.11772,19.534727,GOOD
105,2024-01-06,MER,CO,0.6939285714285713,7.885551948051948,-99.119594,19.42461,GOOD
106,2024-01-06,MGH,CO,0.42375,4.815340909090909,-99.20266,19.40405,GOOD
107,2024-01-06,MPA,CO,0.12541666666666665,1.4251893939393938,-98.990189,19.1769,GOOD
108,2024-01-06,PED,CO,0.2891666666666667,3.285984848484848,-99.204136,19.325146,GOOD
109,2024-01-06,SAC,CO,0.26291666666666663,2.987689393939394,-99.009381,19.34561,GOOD
110,2024-01-06,SAG,CO,0.6626190476190477,7.529761904761905,-99.030324,19.532968,GOOD
111,2024-01-06,TAH,CO,0.36827380952380956,4.184929653679654,-99.010564,19.246459,GOOD
112,2024-01-06,TLI,CO,0.4025,4.573863636363636,-99.177173,19.602542,GOOD
113,2024-01-06,UIZ,CO,0.5241666666666667,5.956439393939394,-99.07388,19.360794,GOOD
114,2024-01-07,AJM,CO,0.47708333333333336,5.421401515151516,-99.207744,19.272161,GOOD
115,2024-01-07,BJU,CO,0.5658333333333333,6.429924242424242,-99.159596,19.370464,GOOD
116,2024-01-07,CAM,CO,0.67625,7.684659090909091,-99.169794,19.468404,GOOD
117,2024-01-07,CCA,CO,0.5233333333333333,5.946969696969696,-99.176111,19.326111,GOOD
118,2024-01-07,CHO,CO,0.6998214285714286,7.952516233766233,-98.886088,19.266948,GOOD
119,2024-01-07,CUA,CO,0.53625,6.09375,-99.291705,19.365313,GOOD
120,2024-01-07,FAC,CO,0.6341666666666667,7.206439393939394,-99.243524,19.482473,GOOD
121,2024-01-07,HGM,CO,0.7416666666666667,8.428030303030303,-99.152207,19.411617,GOOD
122,2024-01-07,IZT,CO,0.74625,8.480113636363637,-99.117641,19.384413,GOOD
123,2024-01-07,LPR,CO,1.1233333333333333,12.765151515151516,-99.11772,19.534727,GOOD
124,2024-01-07,MER,CO,0.8675,9.857954545454545,-99.119594,19.42461,GOOD
125,2024-01-07,MGH,CO,0.6924999999999999,7.869318181818181,-99.20266,19.40405,GOOD
126,2024-01-07,MPA,CO,0.2654166666666667,3.0160984848484844,-98.990189,19.1769,GOOD
127,2024-01-07,PED,CO,0.305,3.4659090909090904,-99.204136,19.325146,GOOD
128,2024-01-07,SAC,CO,0.8266666666666667,9.393939393939393,-99.009381,19.34561,GOOD
129,2024-01-07,SAG,CO,0.7420833333333334,8.43276515151515,-99.030324,19.532968,GOOD
130,2024-01-07,TAH,CO,0.48541666666666666,5.516098484848484,-99.010564,19.246459,GOOD
131,2024-01-07,TLI,CO,0.6329166666666667,7.192234848484849,-99.177173,19.602542,GOOD
132,2024-01-07,UIZ,CO,0.6095833333333333,6.927083333333333,-99.07388,19.360794,GOOD
